participant_id,experience_level,years_experience,prompt_length_chars,prompt_word_count,prompt_clarity,prompt_specificity,prompt_structure,ai_response_time_seconds,eslint_errors,cyclomatic_complexity,maintainability_index,readability_score
S134,senior,6,715,119,5,3,3,26.82,0,1.83,53.57,5.52
S135,senior,6,358,72,5,5,4,20.3,0,2.13,51.41,5.59
S136,senior,6,337,66,5,5,4,18.12,0,2.09,55.31,5.3
S137,senior,6,311,55,5,5,5,16.39,0,2.55,55.1,6.41
S138,senior,6,498,80,5,5,4,18.58,0,2,60.51,5.46
S139,senior,6,333,62,5,4,4,15.02,0,1.7,55.49,5.09
S140,senior,6,1025,177,5,5,5,18.25,0,2.78,51.01,5.79
S141,senior,6,473,77,5,5,4,18.25,0,2.42,54.9,6.16
S142,senior,6,542,91,5,5,4,20.48,0,2.08,59.68,5.25
S143,senior,6,391,77,5,4,4,16.91,0,2.27,58.41,5.34
S144,senior,6,505,84,5,5,4,16.61,0,2.6,54.37,6.06
S145,senior,6,601,114,5,5,4,18.82,0,1.86,61.33,4.95
S146,senior,6,506,76,5,5,4,22.35,0,1.75,57.87,4.83
S147,senior,6,831,121,5,5,4,17.67,0,2.63,49.31,5.96
S148,senior,6,560,85,5,5,4,16.89,0,2.1,58.32,5.06
S149,senior,6,1036,153,5,5,5,15.27,0,2.88,48.79,6.75
S150,senior,6,734,144,5,5,5,16.8,0,3.13,50.93,6.36
